"BehaviorSpace results (NetLogo 6.1.1)"
"Ejemplo Certamen.nlogo"
"experiment6 spt vs propuesta 60 tiempos"
"11/11/2020 12:59:44:361 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","4","-3","3"
"[run number]","Tasa_M2","Tasa_M3","Tasa_M4","T_P6_M2","P2","P3","T_P5_M2","P4","T_P4_M2","Tasa_M1","P5","T_P3_M2","P6","T_P2_M2","T_P1_M1","T_P1_M2","nP6","T_P6_M1","P1","T_P5_M1","T_P4_M1","nP1","T_P3_M1","nP2","nP3","T_P2_M1","nP4","nP5","Heuristica","Llegada_pedido","[step]","makespan","registro_M1","tmp_utilizacion_M2","tmp_utilizacion_M3","tmp_utilizacion_M4"
"86","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","26","130","129","113","122","126","122"
"87","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","27","130","129","113","122","126","122"
"88","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","28","130","129","113","122","126","122"
"91","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","31","130","129","113","122","127","121"
"89","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","29","130","129","113","122","126","122"
"90","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","30","130","129","113","122","126","122"
"93","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","33","130","129","113","122","127","121"
"94","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","34","130","129","113","122","127","121"
"96","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","36","130","129","113","128","120","122"
"95","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","35","130","129","113","122","127","121"
